country,year,mean,se
MAC,1983,20.710784475079603,3.6807911835079294
MAC,1984,20.22028364397557,3.8622485220026657
MAC,1985,20.122796927713672,3.569560720904074
MAC,1986,19.49319257564809,3.505426428674167
MAC,1987,18.597956723001992,3.464335843544236
MAC,1988,18.247801788193453,3.462112522613812
MAC,1989,17.62576544095468,3.405231575421408
MAC,1990,16.87637544209438,2.9805739234905486
MAC,1991,16.305077562958783,3.1293928395870942
MAC,1992,15.699992912742491,2.9504627526364455
MAC,1993,15.487702632156553,3.069688634256411
MAC,1994,14.598551894364798,3.092599907772885
MAC,1995,14.414791234228014,3.47536444968173
MAC,1996,13.486716213357049,3.255523576151357
MAC,1997,13.164496073146951,3.557331738681556
MAC,1998,12.312014991037438,3.378323849837703
MAC,1999,12.062358373129149,3.126256295435912
MAC,2000,11.006470279671785,3.2553986333074407
MAC,2001,10.435017963870733,3.0842371909707222
MAC,2002,9.614395414446978,2.544687851234685
MAC,2003,8.648651263731232,2.755760160054269
MAC,2004,7.618262860618138,2.8436680135547348
MAC,2005,6.584327947447907,2.118971510535029
MAC,2006,5.523750866266555,1.7377283152662817
MAC,2007,4.2169175262544325,1.4106855623270897
MAC,2008,2.2134016609447076,1.6838008728116654
MAC,2009,1.3427221358917634,1.2799885404657163
MAC,2010,1.556024572972159,1.5056007549441208
MAC,2011,2.1510550635948795,2.263251806455868
MAC,2012,2.60446013814158,2.384816526981928
MAC,2013,3.092902238927128,2.8659426844367837
MAG,1945,-0.8968865253699637,3.056417028630522
MAG,1946,-0.8046658087464692,3.1676839772701837
MAG,1947,-0.8517815262145141,3.240117126573283
MAG,1948,-1.0746337274201683,3.1394948216464473
MAG,1949,-1.0665070117472393,3.2522758317568026
MAG,1950,-0.357536513370629,3.908960738775788
MAG,1951,-0.4677699272069602,3.9335747925772613
MAG,1952,-0.8013556124277579,3.5604005320551506
MAG,1953,-1.0113064174773805,3.676746778502857
MAG,1954,-0.8475176132505158,3.331311187001249
